"host_since","host_response_time","host_is_superhost","host_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_group_cleansed","latitude","longitude","bathrooms_text","accommodates","price","minimum_nights","availability_365","review_scores_rating","instant_bookable","reviews_per_month","room_typeEntire home/apt","room_typeHotel room","room_typePrivate room","room_typeShared room","neighbourhood_group_cleansedBronx","neighbourhood_group_cleansedBrooklyn","neighbourhood_group_cleansedManhattan","neighbourhood_group_cleansedQueens","neighbourhood_group_cleansedStaten Island","price_log"
4484,2,0,1,1,1,"Manhattan",40.79797,-73.9593,1,6,140,30,154,4.69,0,1.91,1,0,0,0,0,0,1,0,0,4.9416424226093
3506,4,0,2,1,1,"Manhattan",40.70646,-74.00755,1,2,160,7,310,5,0,0.16,0,0,1,0,0,0,1,0,0,5.07517381523383
3505,1,0,2,1,1,"Manhattan",40.74411,-74.00728,1,2,275,30,117,5,0,0.02,1,0,0,0,0,0,1,0,0,5.61677109766657
4631,0,0,1,1,1,"Manhattan",40.74759,-73.9771,1,1,92,2,0,4.81,0,1.41,0,0,1,0,0,0,1,0,0,4.52178857704904
3989,0,0,1,1,1,"Brooklyn",40.71512,-73.95499,1,2,98,7,0,4.5,0,0.07,1,0,0,0,0,1,0,0,0,4.58496747867057
3504,0,0,1,1,1,"Brooklyn",40.71975,-73.94199,1,2,160,30,0,5,0,0.2,1,0,0,0,0,1,0,0,0,5.07517381523383
4414,3,0,1,1,1,"Brooklyn",40.67561,-73.97558,1,3,115,30,293,4.91,0,2.15,0,0,1,0,0,1,0,0,0,4.74493212836325
3539,0,0,4,1,1,"Manhattan",40.79528,-73.93495,1,2,56,30,0,4.29,0,0.34,0,0,1,0,0,0,1,0,0,4.02535169073515
3503,2,0,1,1,1,"Manhattan",40.75617,-73.97164,1.5,1,199,3,352,4.86,0,0.62,0,0,1,0,0,0,1,0,0,5.29330482472449
3593,4,0,1,1,1,"Brooklyn",40.67245,-73.92388,1,3,116,30,187,4.71,0,1.05,1,0,0,0,0,1,0,0,0,4.75359019110636
3585,4,1,4,1,1,"Manhattan",40.79057,-73.967,2,7,550,5,107,4.82,1,1.17,1,0,0,0,0,0,1,0,0,6.30991827822652
3514,2,0,1,1,1,"Brooklyn",40.7193,-73.95567,1.5,3,180,30,27,4.96,0,1.74,1,0,0,0,0,1,0,0,0,5.19295685089021
4095,3,0,2,1,1,"Brooklyn",40.69117,-73.93146,1,3,175,30,225,4.81,0,2.63,1,0,0,0,0,1,0,0,0,5.16478597392351
3510,3,0,1,1,1,"Bronx",40.81975,-73.87568,1,1,94,30,346,4.78,1,0.55,0,0,1,0,1,0,0,0,0,4.54329478227
4079,0,0,1,1,0,"Manhattan",40.79858,-73.93585,1,2,95,30,0,0,0,0,0,0,1,0,0,0,1,0,0,4.55387689160054
3501,3,0,1,1,0,"Manhattan",40.76731,-73.98437,1,2,180,30,258,4.97,0,1.32,1,0,0,0,0,0,1,0,0,5.19295685089021
3500,4,1,1,1,1,"Brooklyn",40.71,-73.96378,1.5,6,170,6,96,4.74,1,2.16,1,0,0,0,0,1,0,0,0,5.13579843705026
3941,0,0,0,1,1,"Brooklyn",40.67915,-73.92254,2,3,200,30,365,4.67,0,0.03,0,0,1,0,0,1,0,0,0,5.29831736654804
3579,4,0,52,1,1,"Brooklyn",40.72739,-73.94155,1,4,179,30,276,4.8,1,0.1,1,0,0,0,0,1,0,0,0,5.18738580584075
3499,3,0,3,1,1,"Manhattan",40.80251,-73.9457,1.5,2,93,30,126,4.81,0,0.16,0,0,1,0,0,0,1,0,0,4.53259949315326
3499,3,1,3,1,1,"Brooklyn",40.66949,-73.94939,1,3,185,30,223,4.81,1,1.41,1,0,0,0,0,1,0,0,0,5.22035582507832
3779,3,0,1,1,1,"Manhattan",40.79685,-73.94437,1,1,115,2,276,4.63,0,0.67,0,0,1,0,0,0,1,0,0,4.74493212836325
3967,4,1,3,1,1,"Brooklyn",40.67205,-73.93601,1,1,507,1,364,4.33,1,0.17,0,0,1,0,0,1,0,0,0,6.22851100359118
3593,0,0,1,1,0,"Manhattan",40.72264,-73.98157,0,1,108,30,0,0,0,0,0,0,1,0,0,0,1,0,0,4.68213122712422
3497,0,0,0,1,1,"Brooklyn",40.68259,-73.941414,3.5,4,369,2,149,0,1,0,1,0,0,0,0,1,0,0,0,5.91079664404053
3498,0,0,2,1,1,"Brooklyn",40.69561,-73.93444,1,2,83,3,0,4.54,1,1.07,0,0,1,0,0,1,0,0,0,4.4188406077966
4177,4,1,0,1,0,"Bronx",40.91127,-73.83203,1,2,66,2,2,4.79,0,0.27,1,0,0,0,1,0,0,0,0,4.18965474202643
4775,0,0,1,1,1,"Manhattan",40.74547,-73.99248,2,1,99,30,0,4.73,0,0.11,0,0,1,0,0,0,1,0,0,4.59511985013459
4671,0,0,2,1,0,"Brooklyn",40.70941,-73.95309,1.5,1,35,30,0,4.67,0,0.05,0,0,1,0,0,1,0,0,0,3.55534806148941
3496,3,0,1,1,1,"Queens",40.7664,-73.92885,1,3,88,30,0,4.68,0,1.04,0,0,1,0,0,0,0,1,0,4.47733681447821
3693,4,1,2,1,1,"Manhattan",40.73031,-73.98476,1,1,134,3,17,4.93,0,3.39,1,0,0,0,0,0,1,0,0,4.89783979995091
