"host_since","host_response_time","host_is_superhost","host_listings_count","host_has_profile_pic","host_identity_verified","bathrooms_text","accommodates","minimum_nights","availability_365","review_scores_rating","instant_bookable","reviews_per_month","room_typeEntire home/apt","room_typeHotel room","room_typePrivate room","room_typeShared room","neighbourhood_group_cleansedBronx","neighbourhood_group_cleansedBrooklyn","neighbourhood_group_cleansedManhattan","neighbourhood_group_cleansedQueens","neighbourhood_group_cleansedStaten Island","price_log"
4750,3,0,3,1,1,1.5,3,30,288,4.84,0,0.64,0,0,1,0,0,1,0,0,0,4.93447393313069
4713,4,0,1,1,0,1,1,14,0,5,0,0.03,1,0,0,0,0,0,1,0,0,5.07517381523383
4708,2,1,1,1,1,1,2,4,228,4.96,0,1.93,1,0,0,0,0,1,0,0,0,5.45958551414416
4731,0,0,11,1,1,1,2,120,67,5,0,0.15,1,0,0,0,0,0,1,0,0,4.93447393313069
4686,2,0,1,1,1,1,2,7,67,4.72,0,0.34,0,0,1,0,0,0,1,0,0,4.33073334028633
4685,0,1,1,1,1,1,2,14,152,4.91,0,0.98,1,0,0,0,0,0,1,0,0,5.16478597392351
4684,2,0,1,1,0,1,2,6,126,4.41,0,0.19,1,0,0,0,0,1,0,0,0,4.60517018598809
4677,3,0,1,1,1,2.5,13,3,233,4.7,0,0.27,1,0,0,0,0,1,0,0,0,6.68461172766793
4674,4,1,2,1,1,1,2,5,38,4.8,0,1.67,0,0,1,0,0,1,0,0,0,4.44265125649032
4673,2,0,2,1,1,0,2,30,275,4.86,0,0.31,0,0,1,0,0,0,1,0,0,4.93447393313069
4763,2,0,1,1,1,1,1,30,181,4.91,0,0.2,0,0,1,0,0,0,0,1,0,4.35670882668959
4672,0,0,2,1,1,1,4,30,0,4.71,0,2.35,1,0,0,0,0,1,0,0,0,4.90527477843843
4661,1,0,1,1,1,2,4,5,218,4.77,0,0.47,1,0,0,0,0,0,1,0,0,6.30991827822652
5151,2,0,5,1,1,1,2,4,313,4.62,0,1.27,1,0,0,0,0,1,0,0,0,5.16478597392351
